frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
13.092275000,192.168.1.4,92.60.78.238,49976,47516,,,128,0,20,
13.126855000,192.168.1.4,239.255.255.250,,,50138,1900,4,,,145
13.380156000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
13.380156000,192.168.1.4,92.60.78.238,49972,47516,,,128,0,20,
13.408795000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
13.408828000,192.168.1.4,92.60.78.238,49962,47516,,,128,0,20,
13.566687000,92.60.78.238,192.168.1.4,47516,50214,,,53,0,20,
13.566723000,192.168.1.4,92.60.78.238,50214,47516,,,128,0,20,
13.598735000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
13.598735000,192.168.1.4,92.60.78.238,49964,47516,,,128,0,20,
13.720317000,92.60.78.238,192.168.1.4,47516,50252,,,53,73,20,
13.720547000,192.168.1.4,92.60.78.238,50252,47516,,,128,0,20,
13.783424000,92.60.78.238,192.168.1.4,47516,50252,,,53,0,20,
13.792117000,92.60.78.238,192.168.1.4,47516,50252,,,53,0,20,
13.792117000,192.168.1.4,92.60.78.238,50252,47516,,,128,0,20,
16.031894000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
16.031895000,192.168.1.4,92.60.78.238,49982,47516,,,128,0,20,
16.129813000,192.168.1.4,239.255.255.250,,,50138,1900,4,,,145
18.816394000,92.60.78.238,192.168.1.4,47516,49726,,,53,0,20,
18.816394000,192.168.1.4,92.60.78.238,49726,47516,,,128,0,20,
19.841016000,92.60.78.238,192.168.1.4,47516,49984,,,53,0,20,
19.841017000,192.168.1.4,92.60.78.238,49984,47516,,,128,0,20,
20.863083000,92.60.78.238,192.168.1.4,47516,49954,,,53,0,20,
20.863083000,192.168.1.4,92.60.78.238,49954,47516,,,128,0,20,
21.118838000,92.60.78.238,192.168.1.4,47516,49784,,,53,0,20,
21.118839000,192.168.1.4,92.60.78.238,49784,47516,,,128,0,20,
21.377383000,92.60.78.238,192.168.1.4,47516,50084,,,53,0,20,
21.377383000,192.168.1.4,92.60.78.238,50084,47516,,,128,0,20,
21.888436000,92.60.78.238,192.168.1.4,47516,49346,,,53,0,20,
21.888437000,192.168.1.4,92.60.78.238,49346,47516,,,128,0,20,
21.890151000,92.60.78.238,192.168.1.4,47516,49338,,,53,0,20,
21.890152000,192.168.1.4,92.60.78.238,49338,47516,,,128,0,20,
21.890993000,92.60.78.238,192.168.1.4,47516,49336,,,53,0,20,
21.890994000,192.168.1.4,92.60.78.238,49336,47516,,,128,0,20,
22.046390000,192.168.1.6,79.137.194.105,44946,50001,,,64,0,40,
22.101355000,79.137.194.105,192.168.1.6,50001,44946,,,45,0,40,
22.101393000,192.168.1.6,79.137.194.105,44946,50001,,,64,0,32,
22.102437000,192.168.1.6,79.137.194.105,44946,50001,,,64,1030,32,
22.143260000,92.60.78.238,192.168.1.4,47516,49344,,,53,0,20,
22.143261000,192.168.1.4,92.60.78.238,49344,47516,,,128,0,20,
22.144555000,92.60.78.238,192.168.1.4,47516,49342,,,53,0,20,
22.144555000,192.168.1.4,92.60.78.238,49342,47516,,,128,0,20,
22.148582000,92.60.78.238,192.168.1.4,47516,49345,,,53,0,20,
22.148582000,192.168.1.4,92.60.78.238,49345,47516,,,128,0,20,
22.156570000,79.137.194.105,192.168.1.6,50001,44946,,,45,0,32,
23.937177000,92.60.78.238,192.168.1.4,47516,50196,,,53,0,20,
23.937178000,192.168.1.4,92.60.78.238,50196,47516,,,128,0,20,
24.242393000,79.137.194.105,192.168.1.6,50001,44946,,,45,538,32,
24.242570000,192.168.1.6,79.137.194.105,44946,50001,,,64,0,32,
24.245348000,192.168.1.6,79.137.194.105,44946,50001,,,64,0,32,
24.342342000,79.137.194.105,192.168.1.6,50001,44946,,,45,0,32,
24.397721000,79.137.194.105,192.168.1.6,50001,44946,,,45,0,32,
24.397743000,192.168.1.6,79.137.194.105,44946,50001,,,64,0,32,
24.703988000,92.60.78.238,192.168.1.4,47516,49996,,,53,0,20,
24.703988000,192.168.1.4,92.60.78.238,49996,47516,,,128,0,20,
25.729217000,92.60.78.238,192.168.1.4,47516,49732,,,53,0,20,
25.729218000,192.168.1.4,92.60.78.238,49732,47516,,,128,0,20,
27.265612000,92.60.78.238,192.168.1.4,47516,50100,,,53,0,20,
27.265613000,192.168.1.4,92.60.78.238,50100,47516,,,128,0,20,
27.286590000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
27.286591000,192.168.1.4,92.60.78.238,49956,47516,,,128,0,20,
27.286591000,92.60.78.238,192.168.1.4,47516,50202,,,53,0,20,
27.286592000,192.168.1.4,92.60.78.238,50202,47516,,,128,0,20,
27.287840000,92.60.78.238,192.168.1.4,47516,49864,,,53,0,20,
27.287841000,192.168.1.4,92.60.78.238,49864,47516,,,128,0,20,
27.522207000,92.60.78.238,192.168.1.4,47516,49306,,,53,0,20,
27.522208000,192.168.1.4,92.60.78.238,49306,47516,,,128,0,20,
27.873003000,192.168.1.4,92.60.78.238,49956,47516,,,128,1494,20,
27.873004000,192.168.1.4,92.60.78.238,49956,47516,,,128,597,20,
27.873279000,192.168.1.4,92.60.78.238,49956,47516,,,128,73,20,
27.922511000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
27.922512000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
27.922512000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
27.956170000,92.60.78.238,192.168.1.4,47516,49956,,,53,73,20,
27.996023000,192.168.1.4,92.60.78.238,49956,47516,,,128,0,20,
28.124256000,92.60.78.238,192.168.1.4,47516,49956,,,53,905,20,
28.127028000,192.168.1.4,92.60.78.238,49956,47516,,,128,69,20,
28.221516000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
28.291836000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
28.291836000,192.168.1.4,92.60.78.238,49980,47516,,,128,0,20,
28.292809000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
28.292809000,192.168.1.4,92.60.78.238,49976,47516,,,128,0,20,
28.293761000,192.168.1.6,79.137.194.105,40586,50001,,,64,0,40,
28.343327000,79.137.194.105,192.168.1.6,50001,40586,,,47,0,40,
28.343402000,192.168.1.6,79.137.194.105,40586,50001,,,64,0,32,
28.344329000,192.168.1.6,79.137.194.105,40586,50001,,,64,774,32,
28.393756000,79.137.194.105,192.168.1.6,50001,40586,,,47,0,32,
28.547849000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
28.547850000,192.168.1.4,92.60.78.238,49962,47516,,,128,0,20,
28.547850000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
