frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
20.144810000,92.60.78.238,192.168.1.4,47516,50484,,,53,0,20,
20.145127000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
20.145128000,92.60.78.238,192.168.1.4,47516,50484,,,53,0,20,
20.145236000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.145236000,192.168.1.4,92.60.78.238,49962,47516,,,128,1354,20,
20.145236000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
20.145426000,92.60.78.238,192.168.1.4,47516,50484,,,53,0,20,
20.145426000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.145533000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
20.145534000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
20.145534000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
20.145642000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.145642000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.145822000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
20.145822000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.146064000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.146926000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
20.150741000,92.60.78.238,192.168.1.4,47516,51088,,,53,0,32,
20.150741000,192.168.1.4,92.60.78.238,51088,47516,,,128,0,20,
20.150898000,192.168.1.4,92.60.78.238,51088,47516,,,128,1533,20,
20.152885000,92.60.78.238,192.168.1.4,47516,49964,,,53,0,20,
20.169601000,92.60.78.238,192.168.1.4,,,47516,50663,53,,,188
20.169662000,92.60.78.238,192.168.1.4,47516,50528,,,53,73,20,
20.171453000,92.60.78.238,192.168.1.4,,,47516,50061,53,,,1263
20.172400000,92.60.78.238,192.168.1.4,,,47516,50061,53,,,1263
20.172574000,92.60.78.238,192.168.1.4,,,47516,50061,53,,,1263
20.172986000,192.168.1.4,92.60.78.238,,,50061,47516,128,,,1313
20.175331000,92.60.78.238,192.168.1.4,,,47516,60195,53,,,177
20.179382000,92.60.78.238,192.168.1.4,47516,49980,,,53,73,20,
20.184701000,92.60.78.238,192.168.1.4,47516,51078,,,53,0,20,
20.185811000,92.60.78.238,192.168.1.4,47516,51080,,,53,0,20,
20.189486000,92.60.78.238,192.168.1.4,47516,50484,,,53,73,20,
20.189775000,92.60.78.238,192.168.1.4,,,47516,60196,53,,,103
20.190822000,92.60.78.238,192.168.1.4,,,47516,60196,53,,,1313
20.190959000,92.60.78.238,192.168.1.4,47516,51084,,,53,0,20,
20.190959000,92.60.78.238,192.168.1.4,47516,51086,,,53,0,20,
20.193142000,92.60.78.238,192.168.1.4,47516,51082,,,53,0,20,
20.193453000,92.60.78.238,192.168.1.4,47516,51082,,,53,0,20,
20.193453000,92.60.78.238,192.168.1.4,47516,49962,,,53,0,20,
20.198407000,92.60.78.238,192.168.1.4,,,47516,64443,53,,,1263
20.199966000,92.60.78.238,192.168.1.4,47516,51088,,,53,0,20,
20.200198000,92.60.78.238,192.168.1.4,,,47516,64443,53,,,1263
20.200891000,92.60.78.238,192.168.1.4,,,47516,60196,53,,,1313
20.201072000,92.60.78.238,192.168.1.4,,,47516,64443,53,,,1263
20.201072000,92.60.78.238,192.168.1.4,47516,49976,,,53,73,20,
20.201197000,92.60.78.238,192.168.1.4,,,47516,64443,53,,,1263
20.201432000,92.60.78.238,192.168.1.4,,,47516,64443,53,,,1263
20.201432000,92.60.78.238,192.168.1.4,,,47516,64443,53,,,987
20.201433000,192.168.1.4,92.60.78.238,,,60196,47516,128,,,229
20.201656000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.201869000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,198
20.201869000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,148
20.201869000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1307
20.201916000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.202016000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.202060000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.202060000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,1313
20.202166000,192.168.1.4,92.60.78.238,,,64443,47516,128,,,880
20.212747000,92.60.78.238,192.168.1.4,47516,49964,,,53,73,20,
20.212929000,92.60.78.238,192.168.1.4,47516,49964,,,53,69,20,
20.212929000,192.168.1.4,92.60.78.238,49964,47516,,,128,0,20,
20.213982000,92.60.78.238,192.168.1.4,47516,49962,,,53,73,20,
20.215747000,192.168.1.4,92.60.78.238,50528,47516,,,128,0,20,
20.219046000,92.60.78.238,192.168.1.4,47516,49972,,,53,80,20,
20.225621000,192.168.1.4,92.60.78.238,49972,47516,,,128,0,20,
20.225621000,92.60.78.238,192.168.1.4,47516,49972,,,53,2079,20,
20.226278000,92.60.78.238,192.168.1.4,47516,50484,,,53,334,20,
20.226278000,192.168.1.4,92.60.78.238,50484,47516,,,128,0,20,
20.226278000,92.60.78.238,192.168.1.4,47516,49980,,,53,708,20,
20.226278000,192.168.1.4,92.60.78.238,49980,47516,,,128,0,20,
